<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
252B,"（対象局番：43局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
252C,"（対象局番：44局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
252D,"（対象局番：45局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
252E,"（対象局番：46局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
252F,"（対象局番：47局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2530,"（対象局番：48局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2531,"（対象局番：49局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2532,"（対象局番：50局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2533,"（対象局番：51局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2534,"（対象局番：52局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2535,"（対象局番：53局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2536,"（対象局番：54局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2537,"（対象局番：55局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2538,"（対象局番：56局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2539,"（対象局番：57局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
253A,"（対象局番：58局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
253B,"（対象局番：59局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
253C,"（対象局番：60局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
253D,"（対象局番：61局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
